調査年月日,2024/9/3,2024/9/12,2024/9/29,2024/10/1,2024/10/14,2024/10/28,2024/11/5,2024/11/13,2024/11/30,2024/12/5,2024/12/13,2024/12/21,2025/1/7,2025/1/15,2025/1/25,2025/2/4,2025/2/11,2025/2/21,2025/3/5,2025/3/11,2025/3/23,2025/4/4,2025/4/14,2025/4/22,2025/5/1
カワウ 【3】,1,6,5,25,31,12,50,65,38,205,362,280,141,185,183,118,117,52,52,28,7,7,3,3,2
サンカノゴイ,,,,,,,,,,,,,,,,,,,,1,,,,,
ゴイサギ,,,,,4,4,,,,,,,,,,,,,,,,,,,
アマサギ,,1,,,,,,,,,,,,,,,,,,,,,,,
アオサギ 【3】,10,28,19,5,33,29,32,27,12,10,15,17,9,25,14,5,10,8,6,18,10,6,10,8,4
ダイサギ,199,316,210,135,135,109,28,46,42,5,20,21,16,15,15,16,9,12,5,17,8,3,16,12,10
チュウサギ,136,14,38,27,12,48,3,,,,,,,,1,,,,,,,,,3,
コサギ,5,13,8,2,22,12,7,12,9,5,24,21,1,7,5,1,2,4,4,3,3,,4,4,
ミサゴ 【3】,1,5,1,1,1,,,,,,,,,,,,,1,7,3,2,5,5,2,6
オオタカ 【1】,1,,,,,,,,,,,,1,1,,,,,,,,,,,
チュウヒ,,,,,,,,1,1,,,,,1,1,,1,1,,1,1,,,,
トビ 【3】,7,12,10,,10,12,5,11,9,5,19,12,9,20,22,7,12,12,6,11,6,8,6,19,9
オジロワシ 【2】,,,,,,,,1,1,,1,1,,2,2,,2,2,,2,,,,,
ノスリ 【2】,,2,2,2,3,3,2,5,2,4,3,3,4,5,2,3,4,2,3,2,2,2,,1,2
チョウゲンボウ 【3】,,,,1,,,,,1,,,1,,,,,,,,,,,,,
コチョウゲンボウ 【3】,,,,,,,,,,,,,,,,,2,,,,,,,,
ハヤブサ 【1】,,1,,,1,,,,,,,,,,,,,,,,,,1,1,
ガン類,,,,,,,,,,,1,1,,,,,,,,,,,,,
